FROM,TO,TRIPS
Wesley Chapel  I-75 - SR56,Pasco Central,4684.28
Wesley Chapel  I-75 - SR56,Pasco East,20399.66
Wesley Chapel  I-75 - SR56,Pasco West,575.96
Wesley Chapel  I-75 - SR56,Pinellas,1361.97
Wesley Chapel  I-75 - SR56,San Antonio,441.42
Wesley Chapel  I-75 - SR56,Seven Springs  Odessa,200.46
Wesley Chapel  I-75 - SR56,Suncoast  SR 54,327.97
Wesley Chapel  I-75 - SR56,Wesley Chapel  I-75 - SR56,32805.51
Wesley Chapel  I-75 - SR56,Zephyrhills,2239.67
Zephyrhills,Citrus,67.5
Zephyrhills,Dade City,3170.54
Zephyrhills,E New Port Richey,13.24
Zephyrhills,External,2355.46
Zephyrhills,Hernando,739.84
Zephyrhills,Hillsborough  Manatee Spur,5803.68
Zephyrhills,Hudson,10.38
Zephyrhills,I-75  SR 52,258.97
Zephyrhills,Lacoochie Ind Area,86.54
Zephyrhills,Land O Lakes  Connerton,150.48
Zephyrhills,NW Pasco,26.96
Zephyrhills,New Port Richey,60.1
Zephyrhills,Pasco Central,569.94
Zephyrhills,Pasco East,25780.95
Zephyrhills,Pasco West,148.23
Zephyrhills,Pinellas,609.69
Zephyrhills,San Antonio,598.37
Zephyrhills,Seven Springs  Odessa,29.49
Zephyrhills,Suncoast  SR 54,60.9
Zephyrhills,Wesley Chapel  I-75 - SR56,2239.67
Zephyrhills,Zephyrhills,47407.31
