FROM,TO,TRIPS
Pinellas North,Pinellas South,3878.17
Pinellas North,St Petersburg Clearwater Area,157.38
Pinellas North,Tarpon Springs Area,4456.49
Pinellas North,Tyrone Square Area,129.24
Pinellas North Central,Clearwater Dwntwn,18037.01
Pinellas North Central,Clearwater Mall,3799.05
Pinellas North Central,Countryside Mall,7362.73
Pinellas North Central,Dwntwn USF Albert Whitted Airport,2937.28
Pinellas North Central,External,4817.32
Pinellas North Central,Gateway Area,3751.35
Pinellas North Central,Grand Central Area,48.89
Pinellas North Central,Hernando  Citrus,1050.1
Pinellas North Central,Hillsborough,32733.47
Pinellas North Central,Manatee Spur,105.23
Pinellas North Central,Mid-Cnty Ind Area,13932.66
Pinellas North Central,Oldsmar Ind Area,7081
Pinellas North Central,Pasco,13863.56
Pinellas North Central,Pinellas Beaches,11978.8
Pinellas North Central,Pinellas Central,55942.23
Pinellas North Central,Pinellas North,49634.81
Pinellas North Central,Pinellas North Central,384910.63
Pinellas North Central,Pinellas South,18171.18
Pinellas North Central,St Petersburg Clearwater Area,567.37
Pinellas North Central,Tarpon Springs Area,525.39
Pinellas North Central,Tyrone Square Area,272.91
Pinellas South,Clearwater Dwntwn,1484.56
Pinellas South,Clearwater Mall,270.91
Pinellas South,Countryside Mall,272.86
Pinellas South,Dwntwn USF Albert Whitted Airport,57153.47
Pinellas South,External,12425.32
Pinellas South,Gateway Area,20582.67
Pinellas South,Grand Central Area,6098.36
Pinellas South,Hernando  Citrus,698.74
Pinellas South,Hillsborough,46578.37
Pinellas South,Manatee Spur,1024.77
Pinellas South,Mid-Cnty Ind Area,33871.1
Pinellas South,Oldsmar Ind Area,587.66
Pinellas South,Pasco,5999.21
Pinellas South,Pinellas Beaches,28977.15
Pinellas South,Pinellas Central,66432.39
Pinellas South,Pinellas North,3878.17
Pinellas South,Pinellas North Central,18171.18
Pinellas South,Pinellas South,759715.4
Pinellas South,St Petersburg Clearwater Area,781.98
Pinellas South,Tarpon Springs Area,95.25
Pinellas South,Tyrone Square Area,13893.33
St Petersburg Clearwater Area,Clearwater Dwntwn,18.67
St Petersburg Clearwater Area,Clearwater Mall,4.03
St Petersburg Clearwater Area,Countryside Mall,10.42
St Petersburg Clearwater Area,Dwntwn USF Albert Whitted Airport,51.15
St Petersburg Clearwater Area,External,236.91
St Petersburg Clearwater Area,Gateway Area,105.58
St Petersburg Clearwater Area,Grand Central Area,0
St Petersburg Clearwater Area,Hernando  Citrus,46.37
St Petersburg Clearwater Area,Hillsborough,566.9
St Petersburg Clearwater Area,Manatee Spur,86.12
St Petersburg Clearwater Area,Mid-Cnty Ind Area,708.33
St Petersburg Clearwater Area,Oldsmar Ind Area,1.18
St Petersburg Clearwater Area,Pasco,260.16
St Petersburg Clearwater Area,Pinellas Beaches,146.46
St Petersburg Clearwater Area,Pinellas Central,1158.71
St Petersburg Clearwater Area,Pinellas North,157.38
St Petersburg Clearwater Area,Pinellas North Central,567.37
St Petersburg Clearwater Area,Pinellas South,781.98
St Petersburg Clearwater Area,St Petersburg Clearwater Area,273.18
St Petersburg Clearwater Area,Tarpon Springs Area,0.86
St Petersburg Clearwater Area,Tyrone Square Area,2.87
Tarpon Springs Area,Clearwater Dwntwn,22.17
Tarpon Springs Area,Clearwater Mall,1.49
Tarpon Springs Area,Countryside Mall,22.76
Tarpon Springs Area,Dwntwn USF Albert Whitted Airport,0.68
Tarpon Springs Area,External,136.35
Tarpon Springs Area,Gateway Area,3.76
Tarpon Springs Area,Grand Central Area,0.63
Tarpon Springs Area,Hernando  Citrus,82.19
Tarpon Springs Area,Hillsborough,305.21
Tarpon Springs Area,Manatee Spur,1.02
Tarpon Springs Area,Mid-Cnty Ind Area,32.8
Tarpon Springs Area,Oldsmar Ind Area,7.62
Tarpon Springs Area,Pasco,2059.07
Tarpon Springs Area,Pinellas Beaches,95.59
Tarpon Springs Area,Pinellas Central,140.4
Tarpon Springs Area,Pinellas North,4456.49
Tarpon Springs Area,Pinellas North Central,525.39
Tarpon Springs Area,Pinellas South,95.25
Tarpon Springs Area,St Petersburg Clearwater Area,0.86
Tarpon Springs Area,Tarpon Springs Area,836.17
Tarpon Springs Area,Tyrone Square Area,2.68
Tyrone Square Area,Clearwater Dwntwn,9.62
Tyrone Square Area,Clearwater Mall,5.78
Tyrone Square Area,Countryside Mall,6.87
Tyrone Square Area,Dwntwn USF Albert Whitted Airport,517.07
Tyrone Square Area,External,167.41
Tyrone Square Area,Gateway Area,174.67
Tyrone Square Area,Grand Central Area,63.78
Tyrone Square Area,Hernando  Citrus,5.02
Tyrone Square Area,Hillsborough,498.74
Tyrone Square Area,Manatee Spur,7.46
Tyrone Square Area,Mid-Cnty Ind Area,269.13
Tyrone Square Area,Oldsmar Ind Area,0
Tyrone Square Area,Pasco,58.66
Tyrone Square Area,Pinellas Beaches,987.31
Tyrone Square Area,Pinellas Central,2699.84
Tyrone Square Area,Pinellas North,129.24
Tyrone Square Area,Pinellas North Central,272.91
Tyrone Square Area,Pinellas South,13893.33
Tyrone Square Area,St Petersburg Clearwater Area,2.87
Tyrone Square Area,Tarpon Springs Area,2.68
Tyrone Square Area,Tyrone Square Area,2080
