GEOID,STATE,GROUP,Sum of home_device_count
34023000502,New Jersey,0,2915
34023000603,New Jersey,0,1883
34023000606,New Jersey,0,2797
34023000608,New Jersey,0,664
34023000701,New Jersey,0,1860
34023000702,New Jersey,0,2884
34023000801,New Jersey,0,1458
34023000802,New Jersey,0,1794
34023000901,New Jersey,0,1919
34023000902,New Jersey,0,2533
34023001001,New Jersey,0,2059
34023001002,New Jersey,0,4291
34023001100,New Jersey,0,1407
34023001200,New Jersey,0,1518
34023001300,New Jersey,0,1549
34023001409,New Jersey,0,1495
34023001410,New Jersey,0,1517
34023001411,New Jersey,0,1647
34023001412,New Jersey,0,1689
34023001413,New Jersey,0,2021
34023001414,New Jersey,0,1598
34023001415,New Jersey,0,1495
34023001416,New Jersey,0,2639
34023001417,New Jersey,0,1108
34023001502,New Jersey,0,2802
34023001504,New Jersey,0,3017
34023001505,New Jersey,0,845
34023001506,New Jersey,0,2015
34023001600,New Jersey,0,1632
34023001701,New Jersey,0,2987
34023001702,New Jersey,0,2121
34023001803,New Jersey,0,1678
34023001804,New Jersey,0,2177
34023001805,New Jersey,0,2920
34023001901,New Jersey,0,2274
34023001902,New Jersey,0,761
34023001903,New Jersey,0,1719
34023002000,New Jersey,0,2550
34023002101,New Jersey,0,1441
34023002102,New Jersey,0,1437
34023002200,New Jersey,0,2472
34023002301,New Jersey,0,3181
34023002302,New Jersey,0,2452
34023002401,New Jersey,0,3477
34023002402,New Jersey,0,676
34023002500,New Jersey,0,4064
34023002603,New Jersey,0,1681
34023002604,New Jersey,0,3657
34023002605,New Jersey,0,1732
34023002701,New Jersey,0,3042
34023002703,New Jersey,0,3559
34023002805,New Jersey,0,882
34023002901,New Jersey,0,1666
34023002902,New Jersey,0,1256
34023003001,New Jersey,0,3032
34023003002,New Jersey,0,3088
34023003101,New Jersey,0,1480
34023003102,New Jersey,0,2531
34023003201,New Jersey,0,2356
34023003203,New Jersey,0,1878
34023003300,New Jersey,0,2541
34023003401,New Jersey,0,2009
34023003500,New Jersey,0,1180
34023003600,New Jersey,0,3539
34023003700,New Jersey,0,2485
34023003800,New Jersey,0,3225
34023004000,New Jersey,0,1492
34023004100,New Jersey,0,1008
34023004200,New Jersey,0,1001
34023004300,New Jersey,0,1571
34023004400,New Jersey,0,912
34023004500,New Jersey,0,2292
34023004600,New Jersey,0,1246
34023004700,New Jersey,0,1342
34023004800,New Jersey,0,1761
34023004900,New Jersey,0,1387
34023005000,New Jersey,0,1237
34023005100,New Jersey,0,648
34023005200,New Jersey,0,1217
34023005300,New Jersey,0,855
34023005500,New Jersey,0,1111
34023005601,New Jersey,0,695
34023005602,New Jersey,0,1326
34023005700,New Jersey,0,1313
34023005800,New Jersey,0,993
34023006001,New Jersey,0,1048
34023006002,New Jersey,0,865
34023006101,New Jersey,0,1853
34023006103,New Jersey,0,2877
34023006104,New Jersey,0,1900
34023006203,New Jersey,0,4247
34023006204,New Jersey,0,1206
34023006205,New Jersey,0,3181
34023006206,New Jersey,0,1222
34023006207,New Jersey,0,4153
34023006300,New Jersey,0,5175
34023006403,New Jersey,0,1775
34023006500,New Jersey,0,5162
34023006601,New Jersey,0,1556
34023006604,New Jersey,0,3999
34023006605,New Jersey,0,2442
34023006606,New Jersey,0,2299
34023006607,New Jersey,0,2002
34023006608,New Jersey,0,2539
34023006701,New Jersey,0,3039
34023006703,New Jersey,0,3459
34023006800,New Jersey,0,2472
34023006900,New Jersey,0,1382
34023007000,New Jersey,0,4594
34023007101,New Jersey,0,1719
34023007102,New Jersey,0,2944
34023007103,New Jersey,0,2621
34023007202,New Jersey,0,3024
34023007203,New Jersey,0,2513
34023007301,New Jersey,0,2113
34023007303,New Jersey,0,1422
34023007304,New Jersey,0,3072
34023007402,New Jersey,0,2761
34023007500,New Jersey,0,1805
34023007600,New Jersey,0,2546
34023007702,New Jersey,0,4258
34023007703,New Jersey,0,2134
34023007704,New Jersey,0,2227
34023007801,New Jersey,0,2058
34023007804,New Jersey,0,3451
