GEOID,STATE,Date,Sum of home_device_count
34023002102,New Jersey,13-Feb,1178
34023002200,New Jersey,13-Feb,1920
34023002301,New Jersey,13-Feb,2492
34023002302,New Jersey,13-Feb,2001
34023002401,New Jersey,13-Feb,2663
34023002402,New Jersey,13-Feb,560
34023002500,New Jersey,13-Feb,3523
34023002603,New Jersey,13-Feb,1775
34023002604,New Jersey,13-Feb,3232
34023002605,New Jersey,13-Feb,1256
34023002701,New Jersey,13-Feb,2431
34023002703,New Jersey,13-Feb,2907
34023002805,New Jersey,13-Feb,1011
34023002901,New Jersey,13-Feb,1485
34023002902,New Jersey,13-Feb,1318
34023003001,New Jersey,13-Feb,2512
34023003002,New Jersey,13-Feb,2861
34023003101,New Jersey,13-Feb,1044
34023003102,New Jersey,13-Feb,2069
34023003201,New Jersey,13-Feb,2634
34023003203,New Jersey,13-Feb,1954
34023003300,New Jersey,13-Feb,2564
34023003401,New Jersey,13-Feb,1792
34023003500,New Jersey,13-Feb,1237
34023003600,New Jersey,13-Feb,2859
34023003700,New Jersey,13-Feb,2289
34023003800,New Jersey,13-Feb,2997
34023004000,New Jersey,13-Feb,1371
34023004100,New Jersey,13-Feb,767
34023004200,New Jersey,13-Feb,1127
34023004300,New Jersey,13-Feb,1169
34023004400,New Jersey,13-Feb,1184
34023004500,New Jersey,13-Feb,2181
34023004600,New Jersey,13-Feb,1351
34023004700,New Jersey,13-Feb,1325
34023004800,New Jersey,13-Feb,2218
34023004900,New Jersey,13-Feb,1397
34023005000,New Jersey,13-Feb,1152
34023005100,New Jersey,13-Feb,5444
34023005200,New Jersey,13-Feb,2264
34023005300,New Jersey,13-Feb,952
34023005500,New Jersey,13-Feb,967
34023005601,New Jersey,13-Feb,740
34023005602,New Jersey,13-Feb,1399
34023005700,New Jersey,13-Feb,1370
34023005800,New Jersey,13-Feb,1885
34023006001,New Jersey,13-Feb,913
34023006002,New Jersey,13-Feb,1889
34023006101,New Jersey,13-Feb,1927
34023006103,New Jersey,13-Feb,2477
34023006104,New Jersey,13-Feb,1888
34023006203,New Jersey,13-Feb,3567
34023006204,New Jersey,13-Feb,900
34023006205,New Jersey,13-Feb,2751
34023006206,New Jersey,13-Feb,884
34023006207,New Jersey,13-Feb,3502
34023006300,New Jersey,13-Feb,4639
34023006403,New Jersey,13-Feb,1642
34023006500,New Jersey,13-Feb,4657
34023006601,New Jersey,13-Feb,1248
34023006604,New Jersey,13-Feb,3155
34023006605,New Jersey,13-Feb,1976
34023006606,New Jersey,13-Feb,1940
34023006607,New Jersey,13-Feb,1769
34023006608,New Jersey,13-Feb,2048
34023006701,New Jersey,13-Feb,2221
34023006703,New Jersey,13-Feb,2916
34023006800,New Jersey,13-Feb,2510
34023006900,New Jersey,13-Feb,1543
34023007000,New Jersey,13-Feb,4059
34023007101,New Jersey,13-Feb,1771
34023007102,New Jersey,13-Feb,2610
