GEOID,STATE,GROUP,Sum of home_device_count
34017010400,New Jersey,0,8075
34017010500,New Jersey,0,2146
34017010600,New Jersey,0,3015
34017010700,New Jersey,0,2011
34017010800,New Jersey,0,1513
34017010900,New Jersey,0,1398
34017011000,New Jersey,0,1134
34017011100,New Jersey,0,1890
34017011200,New Jersey,0,2488
34017011300,New Jersey,0,1172
34017011400,New Jersey,0,1329
34017011500,New Jersey,0,1007
34017011600,New Jersey,0,1771
34017012300,New Jersey,0,1075
34017012400,New Jersey,0,1042
34017012500,New Jersey,0,1611
34017012600,New Jersey,0,1388
34017012700,New Jersey,0,2363
34017012800,New Jersey,0,1982
34017012900,New Jersey,0,1510
34017013000,New Jersey,0,1833
34017013100,New Jersey,0,1084
34017013200,New Jersey,0,1465
34017013300,New Jersey,0,1918
34017013400,New Jersey,0,667
34017013500,New Jersey,0,1614
34017013600,New Jersey,0,729
34017013700,New Jersey,0,1184
34017013800,New Jersey,0,1090
34017013900,New Jersey,0,1961
34017014000,New Jersey,0,1510
34017014101,New Jersey,0,965
34017014102,New Jersey,0,1737
34017014200,New Jersey,0,1577
34017014300,New Jersey,0,2083
34017014400,New Jersey,0,3404
34017014501,New Jersey,0,2294
34017014502,New Jersey,0,1269
34017014600,New Jersey,0,1623
34017014700,New Jersey,0,1298
34017014800,New Jersey,0,2249
34017014900,New Jersey,0,822
34017015001,New Jersey,0,419
34017015002,New Jersey,0,1566
34017015100,New Jersey,0,1308
34017015201,New Jersey,0,769
34017015202,New Jersey,0,2141
34017015300,New Jersey,0,1307
34017015500,New Jersey,0,1894
34017015600,New Jersey,0,1182
34017015700,New Jersey,0,1181
34017015801,New Jersey,0,477
34017015802,New Jersey,0,1905
34017015900,New Jersey,0,2141
34017016000,New Jersey,0,1750
34017016100,New Jersey,0,1334
34017016200,New Jersey,0,1562
34017016300,New Jersey,0,1219
34017016400,New Jersey,0,1021
34017016500,New Jersey,0,1063
34017016600,New Jersey,0,1471
34017016700,New Jersey,0,585
34017016800,New Jersey,0,1041
34017016900,New Jersey,0,932
34017017000,New Jersey,0,1418
34017017100,New Jersey,0,1562
