GEOID,County,State,"Change in percent devices at home, midday"
34023003001,Middlesex,NJ,32.99
34023003002,Middlesex,NJ,31.05
34023003101,Middlesex,NJ,37.39
34023003102,Middlesex,NJ,36.59
34023003201,Middlesex,NJ,30.84
34023003203,Middlesex,NJ,30.02
34023003300,Middlesex,NJ,31.67
34023003401,Middlesex,NJ,29.98
34023003500,Middlesex,NJ,31.09
34023003600,Middlesex,NJ,24.85
34023003700,Middlesex,NJ,27.12
34023003800,Middlesex,NJ,26.52
34023004000,Middlesex,NJ,27.01
34023004100,Middlesex,NJ,19.16
34023004200,Middlesex,NJ,25.12
34023004300,Middlesex,NJ,39.31
34023004400,Middlesex,NJ,22.02
34023004500,Middlesex,NJ,32.66
34023004600,Middlesex,NJ,26.61
34023004700,Middlesex,NJ,23.9
34023004800,Middlesex,NJ,22.24
34023004900,Middlesex,NJ,26.15
34023005000,Middlesex,NJ,33.17
34023005100,Middlesex,NJ,-49.49
34023005200,Middlesex,NJ,-9.77
34023005300,Middlesex,NJ,14.59
34023005500,Middlesex,NJ,17.06
34023005601,Middlesex,NJ,18.37
34023005602,Middlesex,NJ,7.82
34023005700,Middlesex,NJ,19.8
34023005800,Middlesex,NJ,17.13
34023006001,Middlesex,NJ,29.23
34023006002,Middlesex,NJ,-2.98
34023006101,Middlesex,NJ,21.58
34023006103,Middlesex,NJ,26.31
34023006104,Middlesex,NJ,39.21
34023006203,Middlesex,NJ,34.37
34023006204,Middlesex,NJ,33.66
34023006205,Middlesex,NJ,34.36
34023006206,Middlesex,NJ,40.25
34023006207,Middlesex,NJ,29.09
34023006300,Middlesex,NJ,33.14
34023006403,Middlesex,NJ,37.21
34023006500,Middlesex,NJ,34.62
34023006601,Middlesex,NJ,43.79
34023006604,Middlesex,NJ,40.09
34023006605,Middlesex,NJ,38.85
34023006606,Middlesex,NJ,47.44
34023006607,Middlesex,NJ,39.18
34023006608,Middlesex,NJ,38.06
34023006701,Middlesex,NJ,45.56
34023006703,Middlesex,NJ,36.66
34023006800,Middlesex,NJ,28.13
34023006900,Middlesex,NJ,16.21
34023007000,Middlesex,NJ,29.55
34023007101,Middlesex,NJ,30.9
34023007102,Middlesex,NJ,33.47
34023007103,Middlesex,NJ,23.37
34023007202,Middlesex,NJ,28.77
34023007203,Middlesex,NJ,28.34
34023007301,Middlesex,NJ,31.48
34023007303,Middlesex,NJ,25.78
34023007304,Middlesex,NJ,31.98
34023007402,Middlesex,NJ,29.78
34023007500,Middlesex,NJ,30.5
34023007600,Middlesex,NJ,30.39
34023007702,Middlesex,NJ,39.63
34023007703,Middlesex,NJ,35.02
34023007704,Middlesex,NJ,30.7
34023007801,Middlesex,NJ,33.79
34023007804,Middlesex,NJ,34.18
34023007805,Middlesex,NJ,37.06
34023007806,Middlesex,NJ,34.42
34023007905,Middlesex,NJ,37.67
34023007906,Middlesex,NJ,29.6
34023007907,Middlesex,NJ,38.66
34023007908,Middlesex,NJ,28.79
34023007909,Middlesex,NJ,38.59
34023007910,Middlesex,NJ,29.43
34023007911,Middlesex,NJ,38.55
34023007912,Middlesex,NJ,39.87
34023008001,Middlesex,NJ,29.15
34023008101,Middlesex,NJ,30.82
34023008102,Middlesex,NJ,35.49
34023008103,Middlesex,NJ,39.39
34023008202,Middlesex,NJ,37.54
34023008204,Middlesex,NJ,30.17
34023008205,Middlesex,NJ,26.22
34023008206,Middlesex,NJ,31.25
34023008207,Middlesex,NJ,36.4
34023008208,Middlesex,NJ,44.52
34023008209,Middlesex,NJ,38.67
34023008300,Middlesex,NJ,32.17
