GEOID,County,Day type,"Change in percent devices at home, midday"
34019011302,Hunterdon,Weekday,37.24
34019011303,Hunterdon,Weekday,44.86
34019011304,Hunterdon,Weekday,37.85
34019011400,Hunterdon,Weekday,22.89
34019011500,Hunterdon,Weekday,28.16
34019011600,Hunterdon,Weekday,38.46
34019011700,Hunterdon,Weekday,36
34019011800,Hunterdon,Weekday,32.18
34019011900,Hunterdon,Weekday,31.62
34023000100,Middlesex,Weekday,37.64
34023000200,Middlesex,Weekday,26.78
34023000300,Middlesex,Weekday,29.52
34023000401,Middlesex,Weekday,31.04
34023000403,Middlesex,Weekday,34.81
34023000404,Middlesex,Weekday,33.43
34023000501,Middlesex,Weekday,34.25
34023000502,Middlesex,Weekday,29.59
34023000603,Middlesex,Weekday,29.27
34023000606,Middlesex,Weekday,35.77
34023000608,Middlesex,Weekday,24.59
34023000701,Middlesex,Weekday,34.75
34023000702,Middlesex,Weekday,40.04
34023000801,Middlesex,Weekday,29.71
34023000802,Middlesex,Weekday,36.96
34023000901,Middlesex,Weekday,29.78
34023000902,Middlesex,Weekday,34.75
34023001001,Middlesex,Weekday,49.44
34023001002,Middlesex,Weekday,32.59
34023001100,Middlesex,Weekday,36.57
34023001200,Middlesex,Weekday,32.13
34023001300,Middlesex,Weekday,25.93
34023001409,Middlesex,Weekday,35.22
34023001410,Middlesex,Weekday,43.07
34023001411,Middlesex,Weekday,45.45
34023001412,Middlesex,Weekday,38.97
34023001413,Middlesex,Weekday,34.51
34023001414,Middlesex,Weekday,39.85
34023001415,Middlesex,Weekday,36.87
34023001416,Middlesex,Weekday,33.66
34023001417,Middlesex,Weekday,40.88
34023001502,Middlesex,Weekday,32.14
34023001504,Middlesex,Weekday,39.61
34023001505,Middlesex,Weekday,30.3
34023001506,Middlesex,Weekday,20.89
34023001600,Middlesex,Weekday,33.48
34023001701,Middlesex,Weekday,31.53
34023001702,Middlesex,Weekday,31.05
34023001803,Middlesex,Weekday,33.74
34023001804,Middlesex,Weekday,29.24
34023001805,Middlesex,Weekday,38.69
34023001901,Middlesex,Weekday,37.36
34023001902,Middlesex,Weekday,39.97
34023001903,Middlesex,Weekday,27.87
34023002000,Middlesex,Weekday,43.61
34023002101,Middlesex,Weekday,46.58
34023002102,Middlesex,Weekday,45.87
34023002200,Middlesex,Weekday,39.68
34023002301,Middlesex,Weekday,42.08
34023002302,Middlesex,Weekday,43.66
34023002401,Middlesex,Weekday,40.78
34023002402,Middlesex,Weekday,31.66
34023002500,Middlesex,Weekday,30.29
34023002603,Middlesex,Weekday,24.44
34023002604,Middlesex,Weekday,31.88
34023002605,Middlesex,Weekday,41.3
34023002701,Middlesex,Weekday,30.47
34023002703,Middlesex,Weekday,31.58
34023002805,Middlesex,Weekday,25.3
