Person Type Scenario,Period,Location,Percent Active Devices
Resident Weekend Before,34,SCHOOL,0
Resident Weekend Before,35,SCHOOL,0
Resident Weekend Before,36,SCHOOL,0
Resident Weekend Before,37,SCHOOL,0
Resident Weekend Before,38,SCHOOL,0
Resident Weekend Before,39,SCHOOL,0
Resident Weekend Before,40,SCHOOL,0
Resident Weekend Before,41,SCHOOL,0
Resident Weekend Before,42,SCHOOL,0
Resident Weekend Before,43,SCHOOL,0
Resident Weekend Before,44,SCHOOL,0
Resident Weekend Before,45,SCHOOL,0
Resident Weekend Before,46,SCHOOL,0
Resident Weekend Before,47,SCHOOL,0
Resident Weekend Before,48,SCHOOL,0
Resident Weekend Now,1,HOME,0.902833472
Resident Weekend Now,2,HOME,0.906124678
Resident Weekend Now,3,HOME,0.911809145
Resident Weekend Now,4,HOME,0.913566494
Resident Weekend Now,5,HOME,0.917665559
Resident Weekend Now,6,HOME,0.9186017
Resident Weekend Now,7,HOME,0.919985986
Resident Weekend Now,8,HOME,0.920455533
Resident Weekend Now,9,HOME,0.921289064
Resident Weekend Now,10,HOME,0.920216067
Resident Weekend Now,11,HOME,0.920615757
Resident Weekend Now,12,HOME,0.917130854
Resident Weekend Now,13,HOME,0.9111696
Resident Weekend Now,14,HOME,0.90407328
Resident Weekend Now,15,HOME,0.892832438
Resident Weekend Now,16,HOME,0.885050893
Resident Weekend Now,17,HOME,0.875990226
Resident Weekend Now,18,HOME,0.868640925
Resident Weekend Now,19,HOME,0.862067915
Resident Weekend Now,20,HOME,0.855382901
Resident Weekend Now,21,HOME,0.845950182
Resident Weekend Now,22,HOME,0.841474087
Resident Weekend Now,23,HOME,0.840564093
Resident Weekend Now,24,HOME,0.837855734
Resident Weekend Now,25,HOME,0.835191727
Resident Weekend Now,26,HOME,0.831735787
Resident Weekend Now,27,HOME,0.835118895
Resident Weekend Now,28,HOME,0.831855074
Resident Weekend Now,29,HOME,0.833016885
Resident Weekend Now,30,HOME,0.831943955
Resident Weekend Now,31,HOME,0.834494256
Resident Weekend Now,32,HOME,0.835812233
Resident Weekend Now,33,HOME,0.840309783
Resident Weekend Now,34,HOME,0.843790816
Resident Weekend Now,35,HOME,0.850338718
Resident Weekend Now,36,HOME,0.851482505
Resident Weekend Now,37,HOME,0.857242127
Resident Weekend Now,38,HOME,0.857394999
Resident Weekend Now,39,HOME,0.859412225
Resident Weekend Now,40,HOME,0.854304741
Resident Weekend Now,41,HOME,0.874184699
Resident Weekend Now,42,HOME,0.874311333
Resident Weekend Now,43,HOME,0.881755453
Resident Weekend Now,44,HOME,0.883065765
Resident Weekend Now,45,HOME,0.890278642
Resident Weekend Now,46,HOME,0.892837918
Resident Weekend Now,47,HOME,0.900116573
Resident Weekend Now,48,HOME,0.903948443
Resident Weekend Now,1,WORK,0.038689408
Resident Weekend Now,2,WORK,0.037226691
Resident Weekend Now,3,WORK,0.035227863
Resident Weekend Now,4,WORK,0.034317494
Resident Weekend Now,5,WORK,0.032582378
Resident Weekend Now,6,WORK,0.032399557
