PERSON_TYPE,PER,ORIG_PURPOSE,TIME_USE
CHILD AGE 0 TO 4,1,COMMUTE,0
CHILD AGE 0 TO 4,1,ESCORT,42.988936875
CHILD AGE 0 TO 4,1,HOME,619.747835416667
CHILD AGE 0 TO 4,1,MEAL,3.22623979166667
CHILD AGE 0 TO 4,1,OTHER,0
CHILD AGE 0 TO 4,1,SCHOOL,0
CHILD AGE 0 TO 4,1,SHOP,3.784705
CHILD AGE 0 TO 4,1,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,1,WORK,0
CHILD AGE 0 TO 4,2,COMMUTE,0
CHILD AGE 0 TO 4,2,ESCORT,42.988936875
CHILD AGE 0 TO 4,2,HOME,619.747835416667
CHILD AGE 0 TO 4,2,MEAL,3.22623979166667
CHILD AGE 0 TO 4,2,OTHER,0
CHILD AGE 0 TO 4,2,SCHOOL,0
CHILD AGE 0 TO 4,2,SHOP,3.784705
CHILD AGE 0 TO 4,2,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,2,WORK,0
CHILD AGE 0 TO 4,3,COMMUTE,0
CHILD AGE 0 TO 4,3,ESCORT,42.988936875
CHILD AGE 0 TO 4,3,HOME,619.747835416667
CHILD AGE 0 TO 4,3,MEAL,3.22623979166667
CHILD AGE 0 TO 4,3,OTHER,0
CHILD AGE 0 TO 4,3,SCHOOL,0
CHILD AGE 0 TO 4,3,SHOP,3.784705
CHILD AGE 0 TO 4,3,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,3,WORK,0
CHILD AGE 0 TO 4,4,COMMUTE,0
CHILD AGE 0 TO 4,4,ESCORT,42.988936875
CHILD AGE 0 TO 4,4,HOME,619.747835416667
CHILD AGE 0 TO 4,4,MEAL,3.22623979166667
CHILD AGE 0 TO 4,4,OTHER,0
CHILD AGE 0 TO 4,4,SCHOOL,0
CHILD AGE 0 TO 4,4,SHOP,3.784705
CHILD AGE 0 TO 4,4,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,4,WORK,0
CHILD AGE 0 TO 4,5,COMMUTE,17.4570630027778
CHILD AGE 0 TO 4,5,ESCORT,67.6923279166667
CHILD AGE 0 TO 4,5,HOME,619.747835416667
CHILD AGE 0 TO 4,5,MEAL,3.22623979166667
CHILD AGE 0 TO 4,5,OTHER,0
CHILD AGE 0 TO 4,5,SCHOOL,0
CHILD AGE 0 TO 4,5,SHOP,3.784705
CHILD AGE 0 TO 4,5,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,5,WORK,0
CHILD AGE 0 TO 4,6,COMMUTE,4.01232541666667
CHILD AGE 0 TO 4,6,ESCORT,67.6923279166667
CHILD AGE 0 TO 4,6,HOME,595.044444375
CHILD AGE 0 TO 4,6,MEAL,3.22623979166667
CHILD AGE 0 TO 4,6,OTHER,0
CHILD AGE 0 TO 4,6,SCHOOL,0
CHILD AGE 0 TO 4,6,SHOP,3.784705
CHILD AGE 0 TO 4,6,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,6,WORK,0
CHILD AGE 0 TO 4,7,COMMUTE,20.4950119457176
CHILD AGE 0 TO 4,7,ESCORT,85.4272533333334
CHILD AGE 0 TO 4,7,HOME,595.044444375
CHILD AGE 0 TO 4,7,MEAL,8.71588229166667
CHILD AGE 0 TO 4,7,OTHER,0
CHILD AGE 0 TO 4,7,SCHOOL,0
CHILD AGE 0 TO 4,7,SHOP,9.0544775
CHILD AGE 0 TO 4,7,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,7,WORK,0
CHILD AGE 0 TO 4,8,COMMUTE,43.9285336262732
CHILD AGE 0 TO 4,8,ESCORT,80.575686875
CHILD AGE 0 TO 4,8,HOME,592.631744166667
CHILD AGE 0 TO 4,8,MEAL,3.22623979166667
CHILD AGE 0 TO 4,8,OTHER,0
CHILD AGE 0 TO 4,8,SCHOOL,42.07630125
CHILD AGE 0 TO 4,8,SHOP,3.784705
CHILD AGE 0 TO 4,8,SOC AND REC,12.0668464583333
CHILD AGE 0 TO 4,8,WORK,0
CHILD AGE 0 TO 4,9,COMMUTE,132.927441828241
CHILD AGE 0 TO 4,9,ESCORT,232.689596875
CHILD AGE 0 TO 4,9,HOME,588.840739375
CHILD AGE 0 TO 4,9,MEAL,6.411963125
CHILD AGE 0 TO 4,9,OTHER,0
CHILD AGE 0 TO 4,9,SCHOOL,128.505583958333
CHILD AGE 0 TO 4,9,SHOP,5.68877916666667
CHILD AGE 0 TO 4,9,SOC AND REC,8.7815975
CHILD AGE 0 TO 4,9,WORK,1.26156833333333
CHILD AGE 0 TO 4,10,COMMUTE,174.906490615857
CHILD AGE 0 TO 4,10,ESCORT,332.491545416667
CHILD AGE 0 TO 4,10,HOME,488.313331875
CHILD AGE 0 TO 4,10,MEAL,4.17530145833333
CHILD AGE 0 TO 4,10,OTHER,0
CHILD AGE 0 TO 4,10,SCHOOL,182.042047083333
CHILD AGE 0 TO 4,10,SHOP,30.2401752083333
CHILD AGE 0 TO 4,10,SOC AND REC,17.01606125
CHILD AGE 0 TO 4,10,WORK,0
CHILD AGE 0 TO 4,11,COMMUTE,160.325921702431
CHILD AGE 0 TO 4,11,ESCORT,340.456962916667
CHILD AGE 0 TO 4,11,HOME,465.192055208333
CHILD AGE 0 TO 4,11,MEAL,18.7593066666667
CHILD AGE 0 TO 4,11,OTHER,0
CHILD AGE 0 TO 4,11,SCHOOL,269.561256875
CHILD AGE 0 TO 4,11,SHOP,22.23968
CHILD AGE 0 TO 4,11,SOC AND REC,29.3677566666667
CHILD AGE 0 TO 4,11,WORK,0.218085208333333
CHILD AGE 0 TO 4,12,COMMUTE,247.000743949769
CHILD AGE 0 TO 4,12,ESCORT,518.129528958333
CHILD AGE 0 TO 4,12,HOME,466.592775833333
CHILD AGE 0 TO 4,12,MEAL,21.6576816666667
CHILD AGE 0 TO 4,12,OTHER,0
CHILD AGE 0 TO 4,12,SCHOOL,329.67827125
CHILD AGE 0 TO 4,12,SHOP,46.7349735416667
CHILD AGE 0 TO 4,12,SOC AND REC,74.2314839583333
CHILD AGE 0 TO 4,12,WORK,24.9214764583333
CHILD AGE 0 TO 4,13,COMMUTE,132.322850955093
CHILD AGE 0 TO 4,13,ESCORT,512.491196875
CHILD AGE 0 TO 4,13,HOME,392.56484
CHILD AGE 0 TO 4,13,MEAL,18.7436016666667
CHILD AGE 0 TO 4,13,OTHER,0
CHILD AGE 0 TO 4,13,SCHOOL,363.552903125
CHILD AGE 0 TO 4,13,SHOP,125.663421041667
CHILD AGE 0 TO 4,13,SOC AND REC,81.7716339583333
CHILD AGE 0 TO 4,13,WORK,39.4796670833333
CHILD AGE 0 TO 4,14,COMMUTE,119.514415415046
CHILD AGE 0 TO 4,14,ESCORT,450.399575416667
CHILD AGE 0 TO 4,14,HOME,414.199639166667
CHILD AGE 0 TO 4,14,MEAL,16.0515035416667
CHILD AGE 0 TO 4,14,OTHER,0
CHILD AGE 0 TO 4,14,SCHOOL,363.552903125
CHILD AGE 0 TO 4,14,SHOP,113.44189625
CHILD AGE 0 TO 4,14,SOC AND REC,102.961436875
CHILD AGE 0 TO 4,14,WORK,39.4796670833333
CHILD AGE 0 TO 4,15,COMMUTE,128.162327748727
CHILD AGE 0 TO 4,15,ESCORT,464.575225
CHILD AGE 0 TO 4,15,HOME,413.65256625
CHILD AGE 0 TO 4,15,MEAL,36.6247554166667
CHILD AGE 0 TO 4,15,OTHER,0
CHILD AGE 0 TO 4,15,SCHOOL,360.261592291667
CHILD AGE 0 TO 4,15,SHOP,223.43493875
CHILD AGE 0 TO 4,15,SOC AND REC,152.811158958333
CHILD AGE 0 TO 4,15,WORK,39.4796670833333
CHILD AGE 0 TO 4,16,COMMUTE,104.286820325843
CHILD AGE 0 TO 4,16,ESCORT,470.568396041667
CHILD AGE 0 TO 4,16,HOME,394.536625208333
CHILD AGE 0 TO 4,16,MEAL,35.9634122916667
CHILD AGE 0 TO 4,16,OTHER,0
CHILD AGE 0 TO 4,16,SCHOOL,375.387317083333
CHILD AGE 0 TO 4,16,SHOP,143.415451458333
CHILD AGE 0 TO 4,16,SOC AND REC,241.42225875
CHILD AGE 0 TO 4,16,WORK,39.4796670833333
CHILD AGE 0 TO 4,17,COMMUTE,85.5769734991072
CHILD AGE 0 TO 4,17,ESCORT,443.928803125
CHILD AGE 0 TO 4,17,HOME,494.123547708333
CHILD AGE 0 TO 4,17,MEAL,5.07066020833333
CHILD AGE 0 TO 4,17,OTHER,0
CHILD AGE 0 TO 4,17,SCHOOL,375.387317083333
CHILD AGE 0 TO 4,17,SHOP,106.125644166667
CHILD AGE 0 TO 4,17,SOC AND REC,180.688898125
CHILD AGE 0 TO 4,17,WORK,39.4796670833333
CHILD AGE 0 TO 4,18,COMMUTE,74.9896707574405
CHILD AGE 0 TO 4,18,ESCORT,449.547399375
CHILD AGE 0 TO 4,18,HOME,478.718597708333
CHILD AGE 0 TO 4,18,MEAL,14.8880033333333
CHILD AGE 0 TO 4,18,OTHER,0
CHILD AGE 0 TO 4,18,SCHOOL,360.56458125
CHILD AGE 0 TO 4,18,SHOP,115.742336666667
CHILD AGE 0 TO 4,18,SOC AND REC,186.441078958333
CHILD AGE 0 TO 4,18,WORK,39.4796670833333
CHILD AGE 0 TO 4,19,COMMUTE,93.5132669810516
CHILD AGE 0 TO 4,19,ESCORT,490.033205625
CHILD AGE 0 TO 4,19,HOME,539.893315
CHILD AGE 0 TO 4,19,MEAL,17.412565
CHILD AGE 0 TO 4,19,OTHER,0
CHILD AGE 0 TO 4,19,SCHOOL,360.56458125
CHILD AGE 0 TO 4,19,SHOP,136.2836275
CHILD AGE 0 TO 4,19,SOC AND REC,138.529288125
CHILD AGE 0 TO 4,19,WORK,39.4796670833333
CHILD AGE 0 TO 4,20,COMMUTE,71.447033688459
CHILD AGE 0 TO 4,20,ESCORT,475.122805833333
CHILD AGE 0 TO 4,20,HOME,551.817980416667
CHILD AGE 0 TO 4,20,MEAL,38.850810625
CHILD AGE 0 TO 4,20,OTHER,0
CHILD AGE 0 TO 4,20,SCHOOL,340.28661875
CHILD AGE 0 TO 4,20,SHOP,100.741373541667
CHILD AGE 0 TO 4,20,SOC AND REC,128.316735208333
CHILD AGE 0 TO 4,20,WORK,39.4796670833333
CHILD AGE 0 TO 4,21,COMMUTE,91.9842243898479
CHILD AGE 0 TO 4,21,ESCORT,441.291757916667
CHILD AGE 0 TO 4,21,HOME,581.445336041667
CHILD AGE 0 TO 4,21,MEAL,64.540033125
CHILD AGE 0 TO 4,21,OTHER,0
CHILD AGE 0 TO 4,21,SCHOOL,336.156479583333
CHILD AGE 0 TO 4,21,SHOP,121.3900275
CHILD AGE 0 TO 4,21,SOC AND REC,109.041134583333
CHILD AGE 0 TO 4,21,WORK,39.4796670833333
CHILD AGE 0 TO 4,22,COMMUTE,87.4329230219081
CHILD AGE 0 TO 4,22,ESCORT,433.434503333333
CHILD AGE 0 TO 4,22,HOME,575.734500625
CHILD AGE 0 TO 4,22,MEAL,16.3074291666667
CHILD AGE 0 TO 4,22,OTHER,0
CHILD AGE 0 TO 4,22,SCHOOL,335.210303333333
CHILD AGE 0 TO 4,22,SHOP,144.25075625
CHILD AGE 0 TO 4,22,SOC AND REC,88.619465625
