ZONE,COUNTY,MODE,TRIPS
271,Hillsborough County,WALK,2828.45
272,Hillsborough County,AUTO,14357.2
272,Hillsborough County,WALK,95.79
273,Hillsborough County,AUTO,2672.13
274,Hillsborough County,AUTO,882.89
274,Hillsborough County,WALK,1437.87
275,Hillsborough County,AUTO,2754.51
276,Hillsborough County,AUTO,1776.85
276,Hillsborough County,WALK,40.41
277,Hillsborough County,AUTO,281.23
277,Hillsborough County,WALK,40.41
278,Hillsborough County,AUTO,246.43
279,Hillsborough County,AUTO,12239.31
279,Hillsborough County,WALK,370.88
280,Hillsborough County,AUTO,14370.3
280,Hillsborough County,WALK,44.32
281,Hillsborough County,AUTO,179.61
282,Hillsborough County,AUTO,778.93
284,Hillsborough County,AUTO,2481.91
284,Hillsborough County,WALK,196.71
286,Hillsborough County,AUTO,2596.38
286,Hillsborough County,OTHER,150.76
287,Hillsborough County,AUTO,1420.2
288,Hillsborough County,AUTO,24280.4
288,Hillsborough County,TRANSIT,683.64
288,Hillsborough County,WALK,1764.67
289,Hillsborough County,AUTO,4331.74
289,Hillsborough County,TRANSIT,268.96
289,Hillsborough County,WALK,1879.4
290,Hillsborough County,AUTO,1228.54
290,Hillsborough County,BIKE,18.28
290,Hillsborough County,WALK,292.62
291,Hillsborough County,AUTO,7038.77
291,Hillsborough County,SHUTTLE VANPOOL,39.62
291,Hillsborough County,WALK,186.12
292,Hillsborough County,AUTO,11612.01
292,Hillsborough County,WALK,6.1
293,Hillsborough County,AUTO,25545.52
293,Hillsborough County,OTHER,48.96
293,Hillsborough County,TNC,330.53
293,Hillsborough County,WALK,2567.86
294,Hillsborough County,AUTO,457.63
295,Hillsborough County,AUTO,886.28
295,Hillsborough County,WALK,15.48
296,Hillsborough County,AUTO,1487.39
296,Hillsborough County,TRANSIT,88.78
297,Hillsborough County,AUTO,12488.16
297,Hillsborough County,OTHER,29.46
297,Hillsborough County,TNC,1096.92
298,Hillsborough County,AUTO,3262.47
299,Hillsborough County,AUTO,17530.71
299,Hillsborough County,TRANSIT,24.64
299,Hillsborough County,WALK,2671.79
300,Hillsborough County,AUTO,10871.89
300,Hillsborough County,BIKE,5.22
300,Hillsborough County,OTHER,91.85
300,Hillsborough County,WALK,287.53
301,Hillsborough County,AUTO,2335.43
301,Hillsborough County,OTHER,1
301,Hillsborough County,WALK,2508.85
302,Hillsborough County,AUTO,31842.47
302,Hillsborough County,OTHER,2.42
302,Hillsborough County,SHUTTLE VANPOOL,1961.87
302,Hillsborough County,TRANSIT,999.85
302,Hillsborough County,WALK,39721.63
303,Hillsborough County,AUTO,4407.75
303,Hillsborough County,TRANSIT,1493.41
304,Hillsborough County,AUTO,6726.4
304,Hillsborough County,TRANSIT,537.93
304,Hillsborough County,WALK,537.93
305,Hillsborough County,AUTO,478.41
305,Hillsborough County,TRANSIT,1010.51
306,Hillsborough County,AUTO,5226.73
307,Hillsborough County,AUTO,1999.22
307,Hillsborough County,SHUTTLE VANPOOL,72.09
307,Hillsborough County,TRANSIT,508.01
307,Hillsborough County,WALK,2765.12
308,Hillsborough County,AUTO,3660.15
308,Hillsborough County,BIKE,5.22
308,Hillsborough County,SHUTTLE VANPOOL,22.76
308,Hillsborough County,WALK,938.17
309,Hillsborough County,AUTO,11964.02
309,Hillsborough County,SHUTTLE VANPOOL,2.69
309,Hillsborough County,TNC,56.16
309,Hillsborough County,WALK,8782.57
310,Hillsborough County,AUTO,6770.77
310,Hillsborough County,TNC,569.08
310,Hillsborough County,WALK,2860
311,Hillsborough County,AUTO,8242.55
311,Hillsborough County,BIKE,18.28
311,Hillsborough County,WALK,4701.01
312,Hillsborough County,AUTO,671.42
312,Hillsborough County,WALK,168.69
313,Hillsborough County,AUTO,24745.52
313,Hillsborough County,BIKE,569.3
313,Hillsborough County,BIKE SHARE,43.78
313,Hillsborough County,OTHER,152.52
313,Hillsborough County,SHUTTLE VANPOOL,296.51
313,Hillsborough County,WALK,6707.98
314,Hillsborough County,AUTO,19298.49
314,Hillsborough County,BIKE,434.05
314,Hillsborough County,BIKE SHARE,9.14
314,Hillsborough County,OTHER,94.27
314,Hillsborough County,SHUTTLE VANPOOL,257.68
314,Hillsborough County,WALK,2204.03
315,Hillsborough County,AUTO,9517.41
315,Hillsborough County,BIKE,464.08
315,Hillsborough County,SHUTTLE VANPOOL,18.28
315,Hillsborough County,WALK,439.89
316,Hillsborough County,AUTO,2.42
316,Hillsborough County,WALK,88.78
317,Hillsborough County,AUTO,5426.01
317,Hillsborough County,BIKE,119.23
317,Hillsborough County,LONG DIST PASS,143.42
317,Hillsborough County,TRANSIT,119.23
317,Hillsborough County,WALK,7150.69
318,Hillsborough County,AUTO,18103.43
318,Hillsborough County,BIKE,863.48
318,Hillsborough County,WALK,88.78
319,Hillsborough County,AUTO,14742.34
319,Hillsborough County,WALK,11452.34
320,Hillsborough County,AUTO,24110.93
320,Hillsborough County,WALK,20906.49
321,Hillsborough County,AUTO,9209.14
322,Hillsborough County,AUTO,874.88
322,Hillsborough County,WALK,60.43
323,Hillsborough County,AUTO,17887.65
323,Hillsborough County,OTHER,98.47
323,Hillsborough County,TNC,101.47
323,Hillsborough County,WALK,197.17
324,Hillsborough County,AUTO,581.25
325,Hillsborough County,AUTO,10891.12
326,Hillsborough County,AUTO,22136.14
326,Hillsborough County,OTHER,106.95
326,Hillsborough County,SHUTTLE VANPOOL,768.96
326,Hillsborough County,WALK,5245.77
327,Hillsborough County,AUTO,6.09
327,Hillsborough County,WALK,893.84
328,Hillsborough County,AUTO,14011.74
329,Hillsborough County,AUTO,492.16
329,Hillsborough County,OTHER,113.04
329,Hillsborough County,TNC,14.07
329,Hillsborough County,TRANSIT,34.98
329,Hillsborough County,WALK,42.22
330,Hillsborough County,AUTO,17615.97
330,Hillsborough County,TRANSIT,142.29
331,Hillsborough County,AUTO,462.1
332,Hillsborough County,AUTO,309.62
332,Hillsborough County,WALK,45.46
333,Hillsborough County,AUTO,10260.19
333,Hillsborough County,WALK,26.71
334,Hillsborough County,AUTO,863.31
334,Hillsborough County,WALK,22.73
335,Hillsborough County,AUTO,4787.22
335,Hillsborough County,BIKE,2.31
335,Hillsborough County,SCHOOL BUS,3.39
335,Hillsborough County,WALK,4.61
337,Hillsborough County,AUTO,746.6
339,Hillsborough County,AUTO,137.48
340,Hillsborough County,AUTO,1891.73
341,Hillsborough County,AUTO,299.49
342,Hillsborough County,AUTO,378.24
343,Hillsborough County,AUTO,121.23
344,Hillsborough County,AUTO,1378.71
345,Hillsborough County,AUTO,964.54
346,Hillsborough County,AUTO,102.38
347,Hillsborough County,AUTO,194.77
347,Hillsborough County,BIKE,22.73
348,Hillsborough County,AUTO,1188.06
349,Hillsborough County,AUTO,158.48
349,Hillsborough County,TNC,159.34
350,Hillsborough County,AUTO,1411.93
351,Hillsborough County,AUTO,3667.7
351,Hillsborough County,WALK,1269.73
352,Hillsborough County,AUTO,3150.25
352,Hillsborough County,WALK,1269.73
353,Hillsborough County,AUTO,1857.67
354,Hillsborough County,AUTO,7264.58
354,Hillsborough County,SCHOOL BUS,80.98
354,Hillsborough County,TRANSIT,806.89
355,Hillsborough County,AUTO,531.63
355,Hillsborough County,SCHOOL BUS,18.28
356,Hillsborough County,AUTO,1252.14
358,Hillsborough County,AUTO,2311.52
358,Hillsborough County,OTHER,18.28
359,Hillsborough County,AUTO,2513.01
359,Hillsborough County,WALK,116.37
360,Hillsborough County,AUTO,390.73
361,Hillsborough County,AUTO,1854.64
361,Hillsborough County,TNC,39.62
362,Hillsborough County,AUTO,2447.07
